Name,Age,Party,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
溝口晃一,50,15,2.0,5.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0
山岸一生,37,4,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
吉良佳子,36,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
水野素子,49,5,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0
関口安弘,67,3,,,,,2.0,,,2.0,,,5.0,2.0,,,2.0,5.0,,4.0,5.0,,2.0,4.0,4.0,,1.0,,,,,2.0,2.0,4.0,4.0,
佐藤均,48,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
朝倉玲子,60,9,5.0,5.0,5.0,5.0,1.0,4.0,5.0,3.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
音喜多駿,35,7,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0
七海ひろこ,34,11,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,1.0,2.0,4.0,5.0,2.0,1.0,3.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0
横山昌弘,76,16,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
野原善正,59,10,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
西野貞吉,83,3,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0
大橋昌信,43,13,2.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
